n	mic1_L1_mis	mic1_L1_stima	mic1_L2_mis	mic1_L2_stima	mic2_L1_mis	mic2_L1_stima	mic2_L2_mis	mic2_L2_stima
243	0.000441	0.013505	-0.002598	-0.013321	-0.000761	0.052943	0.007960	-0.011005
244	0.000944	-0.000601	0.003049	-0.049969	-0.001325	-0.032363	-0.010839	0.023316
245	0.000042	0.016461	-0.002505	0.022764	-0.000005	0.050611	-0.012675	-0.014296
246	-0.001427	-0.004602	0.002843	-0.023249	0.002488	-0.022819	0.020856	-0.008402
247	-0.000533	0.024472	-0.002306	-0.013013	0.000795	0.044271	-0.038266	0.025628
248	0.000545	-0.004391	0.002693	-0.002677	-0.001259	-0.048370	0.048751	-0.047173
249	0.001697	0.026250	-0.002227	-0.040189	-0.001231	0.066048	-0.028203	0.055721
250	-0.000868	-0.020674	0.002656	0.016345	0.001484	-0.006826	0.061920	-0.049591
251	-0.001877	-0.009273	-0.002108	0.003954	0.001953	-0.011474	-0.195254	0.093730
252	0.000853	0.018713	0.002258	0.019905	-0.000269	0.085714	-0.323278	-0.266777
253	0.001185	-0.061751	-0.001798	-0.019764	-0.001914	-0.100615	1.000000	-0.241343
254	0.008776	0.074051	0.001837	0.061581	0.000154	0.130077	0.172704	1.000000
255	-0.015483	-0.086284	-0.001463	-0.067465	0.001883	-0.087484	-0.718547	0.175499
256	-0.006771	0.131158	0.000705	0.100964	0.001361	0.078385	-0.370179	-0.776373
257	0.017895	-0.309572	-0.000170	-0.051544	-0.002593	0.001804	-0.207953	-0.337294
258	-0.039151	-0.159984	0.001673	0.019601	0.000128	0.005591	0.240872	-0.200448
259	0.056569	1.000000	-0.003236	0.031463	0.002037	0.093090	0.462754	0.234200
260	-0.049255	-0.011523	0.001499	-0.099449	-0.000816	-0.074782	0.455281	0.528568
261	0.088025	-0.607883	-0.001061	0.099817	-0.000172	0.098638	0.196691	0.386398
262	-0.251653	-0.230918	0.001264	-0.078763	-0.001373	-0.095637	0.302256	0.276844
263	-0.224033	-0.176240	-0.000636	0.100793	-0.000543	0.091569	0.112439	0.225434
264	1.000000	0.247659	0.000814	-0.012466	0.002142	-0.055284	0.202541	0.197870
265	-0.069781	0.448397	-0.001079	0.010326	0.002164	-0.014917	0.006405	0.138036
266	-0.557023	0.447995	0.000095	0.063016	-0.002229	0.006739	0.050785	0.077457
267	-0.276311	0.321456	-0.000740	-0.062493	-0.001979	-0.070243	-0.111310	0.004422
268	-0.153888	0.293111	-0.000192	0.121183	0.000459	0.014186	-0.025311	-0.053721
